Section,TC_ID,Page_Name,Category,Sub_Category,Sub_Sub_Category,Test_Objective,Precondition,Test_Data,Steps,Expected_Result,Specs,Priority,Testcase_Type,Test_Result,Executed_Date,Tester,Note
ACCESSING,TC_KUDO_ACC_001,Viet Kudo,ACCESSING,Authentication,,Verify that an authenticated user can access the Viet Kudo modal,User is logged in with valid credentials,,"1. Navigate to the Kudos page
2. Click the ""Viet Kudo"" button",Modal opens successfully,,High,Functional,,,,
ACCESSING,TC_KUDO_ACC_002,Viet Kudo,ACCESSING,Authentication,,Verify that an unauthenticated user cannot access the Viet Kudo modal,User is not logged in,,"1. Navigate to the Kudos page (or attempt to)
2. Attempt to click the ""Viet Kudo"" button",User is redirected to login page or the button is not visible/accessible,,High,Functional,,,,
ACCESSING,TC_KUDO_ACC_003,Viet Kudo,ACCESSING,Modal Display on Open,,Verify modal overlay covers the background content,User is authenticated and on the Kudos page,,"1. Click the ""Viet Kudo"" button
2. Observe the background",Semi-transparent overlay covers the entire background; background content is not clickable,Dialog_popup: Check layout/content/action,Medium,Functional,,,,
ACCESSING,TC_KUDO_ACC_004,Viet Kudo,ACCESSING,Modal Display on Open,,Verify modal appears centered on the viewport,User is authenticated,,"1. Click the ""Viet Kudo"" button
2. Observe modal position",Modal is centered horizontally and vertically on the screen,Dialog_popup: Check layout/content/action,Medium,Functional,,,,
ACCESSING,TC_KUDO_ACC_005,Viet Kudo,ACCESSING,Modal Display on Open,,Verify all fields are in default state when modal first opens,User is authenticated,,"1. Click the ""Viet Kudo"" button
2. Observe all form fields","All fields are empty/default; recipient field is blank; textarea shows placeholder; no hashtags selected; no images uploaded; anonymous toggle is off; ""Gui"" button is disabled","Design items B, D, E, F, G, H",High,Functional,,,,
ACCESSING,TC_KUDO_ACC_006,Viet Kudo,ACCESSING,Open Modal,,"Verify modal opens when user clicks the ""Viet Kudo"" button on the parent screen",User is authenticated and on the Kudos page,,"1. Navigate to the Kudos page
2. Click the ""Viet Kudo"" button","Modal ""Gui loi cam on va ghi nhan den dong doi"" displays correctly with overlay background",Design item A: Title label,High,Functional,,,,
ACCESSING,TC_KUDO_ACC_007,Viet Kudo,ACCESSING,Open Modal,,Verify modal opens correctly when user double-clicks the trigger button,User is authenticated and on the Kudos page,,"1. Navigate to the Kudos page
2. Double-click the ""Viet Kudo"" button",Modal opens once (not duplicated); displays correctly without error,Dialog_popup: Check open a dialog/popup,Medium,Functional,,,,
ACCESSING,TC_KUDO_ACC_008,Viet Kudo,ACCESSING,Open Modal,,Verify modal opens when user navigates to trigger button via Tab and presses Enter,User is authenticated and on the Kudos page,,"1. Navigate to the Kudos page
2. Press Tab to focus on the ""Viet Kudo"" button
3. Press Enter",Modal opens correctly with focus trapped inside the modal,Dialog_popup: Check open a dialog/popup,Medium,Functional,,,,
GUI,TC_KUDO_GUI_001,Viet Kudo,GUI,Action Buttons,,"Verify ""Huy"" (Cancel) button styling and position",Modal is open,,"1. Open the modal
2. Observe the footer action buttons","""Huy"" button displayed with icon + text style; positioned on the left side of the footer","Design item H.1: ""Huy"" button (icon_text)",High,GUI,,,,
GUI,TC_KUDO_GUI_002,Viet Kudo,GUI,Action Buttons,,"Verify ""Gui"" (Submit) button disabled state when form is incomplete","Modal is open, required fields are empty",,"1. Open the modal without filling any fields
2. Observe the ""Gui"" button","""Gui"" button displayed with yellow background but in disabled state (reduced opacity or grayed out); not clickable","Design item H.2: ""Gui"" disabled when required fields empty",High,GUI,,,,
GUI,TC_KUDO_GUI_003,Viet Kudo,GUI,Action Buttons,,"Verify ""Gui"" button enabled state when all required fields are filled","Modal is open, all required fields filled",,"1. Fill recipient, message, and at least 1 hashtag
2. Observe the ""Gui"" button","""Gui"" button displayed with yellow background in active/enabled state; clickable","Design item H.2: ""Gui"" enabled when all required filled",High,GUI,,,,
GUI,TC_KUDO_GUI_004,Viet Kudo,GUI,Anonymous Toggle,,Verify anonymous toggle checkbox and label display,Modal is open,,"1. Open the modal
2. Observe the anonymous toggle","Toggle/checkbox is displayed unchecked by default; label ""Gui an danh"" is visible; description ""Gui loi cam on va ghi nhan an danh"" is shown","Design item G: ""Gui an danh"" toggle",Medium,GUI,,,,
GUI,TC_KUDO_GUI_005,Viet Kudo,GUI,Anonymous Toggle,,Verify display when anonymous toggle is enabled,Modal is open,,"1. Click the anonymous toggle to enable it
2. Observe the toggle state and additional fields",Toggle shows checked/enabled state; anonymous name text field becomes visible,Design item G: Toggle on shows name field,Medium,GUI,,,,
GUI,TC_KUDO_GUI_006,Viet Kudo,GUI,Hashtag Field,,"Verify ""Hashtag"" label with ""*"" required marker",Modal is open,,"1. Open the modal
2. Observe the hashtag field label","Label ""Hashtag"" displayed with red ""*"" indicating required field","Design item E.1: Label ""Hashtag"" (*)",High,GUI,,,,
GUI,TC_KUDO_GUI_007,Viet Kudo,GUI,Hashtag Field,,"Verify ""+ Hashtag"" button and ""Toi da 5"" note are displayed",Modal is open,,"1. Open the modal
2. Observe the hashtag section","""+ Hashtag"" button and ""Toi da 5"" (Maximum 5) note are displayed correctly","Design item E: ""+ Hashtag"" button and note",High,GUI,,,,
GUI,TC_KUDO_GUI_008,Viet Kudo,GUI,Hashtag Field,,Verify added hashtags display as chips with remove button,"Modal is open, at least one hashtag is added",,"1. Add a hashtag
2. Observe the chip display","Hashtag displays as a chip/tag with text and ""x"" remove button; styling matches design",Design item E.2: Tag Group chips,Medium,GUI,,,,
GUI,TC_KUDO_GUI_009,Viet Kudo,GUI,Hashtag Field,,Verify display when 5 hashtags are added,Modal is open,,"1. Add 5 hashtags
2. Observe the hashtag section","All 5 hashtag chips are displayed; layout is not broken; ""+ Hashtag"" button behavior per spec (hidden or disabled)",Design item E: Max 5 hashtags,Medium,GUI,,,,
GUI,TC_KUDO_GUI_010,Viet Kudo,GUI,Image Upload,,"Verify image section displays label, button, and max note","Modal is open, no images uploaded",,"1. Open the modal
2. Observe the image section","""Image"" label displayed; ""+ Image"" button with ""Toi da 5"" note visible; no thumbnails","Design items F.1, F.5: Image label and button",Medium,GUI,,,,
GUI,TC_KUDO_GUI_011,Viet Kudo,GUI,Image Upload,,Verify uploaded image thumbnail with remove button,"Modal is open, at least one image uploaded",,"1. Upload an image
2. Observe the image thumbnails area","Image thumbnail displayed with ""x"" remove button; correct size and alignment per design",Design items F.2-F.4: Image thumbnails,Medium,GUI,,,,
GUI,TC_KUDO_GUI_012,Viet Kudo,GUI,Image Upload,,Verify display when maximum 5 images are uploaded,Modal is open,,"1. Upload 5 images
2. Observe the image section","All 5 thumbnails displayed in a row; ""+ Image"" button is hidden; layout is not broken","Design item F: Max 5 images, button hidden at 5",Medium,GUI,,,,
GUI,TC_KUDO_GUI_013,Viet Kudo,GUI,Modal Layout,,"Verify modal layout matches Figma design (size, padding, spacing, background color)",Modal is open,,"1. Open the Viet Kudo modal
2. Compare layout with Figma design (520:11602)","Modal size, padding, margins, background color, border radius match the design specifications",Figma frame 520:11602,High,GUI,,,,
GUI,TC_KUDO_GUI_014,Viet Kudo,GUI,Modal Layout,,Verify overlay background appearance,Modal is open,,"1. Open the Viet Kudo modal
2. Observe the overlay behind the modal",Semi-transparent dark overlay covers the entire viewport behind the modal,Dialog_popup: Check layout/content/action,Medium,GUI,,,,
GUI,TC_KUDO_GUI_015,Viet Kudo,GUI,Modal Layout,,Verify modal is scrollable when content exceeds viewport height,Modal is open on a small screen or with many images/hashtags,,"1. Open the modal
2. Add maximum images and hashtags to fill content
3. Observe scrollability",Modal content is scrollable; header and footer action buttons remain accessible,,Medium,GUI,,,,
GUI,TC_KUDO_GUI_016,Viet Kudo,GUI,Recipient Field,,"Verify ""Nguoi nhan"" label with ""*"" required marker is displayed",Modal is open,,"1. Open the modal
2. Observe the recipient field label","Label ""Nguoi nhan"" is displayed with red ""*"" indicating required field","Design item B.1: Label ""Nguoi nhan""",High,GUI,,,,
GUI,TC_KUDO_GUI_017,Viet Kudo,GUI,Recipient Field,,Verify input field appearance with placeholder and dropdown icon,Modal is open,,"1. Open the modal
2. Observe the recipient input field","Input field shows placeholder ""Tim kiem""; dropdown arrow icon is visible on the right side; field dimensions match design (514x56px)",Design item B.2: Search field (514x56px),High,GUI,,,,
GUI,TC_KUDO_GUI_018,Viet Kudo,GUI,Recipient Field,,Verify error styling when recipient field is empty on submit attempt,"Modal is open, recipient field is empty",,"1. Attempt to submit the form without selecting a recipient
2. Observe the recipient field",Field border turns red; error message is displayed below the field,Design item B.2: Error state with red border,High,GUI,,,,
GUI,TC_KUDO_GUI_019,Viet Kudo,GUI,Responsive Design,,Verify modal layout on mobile viewport,Browser viewport set to 320px width,,"1. Open the Viet Kudo modal on mobile viewport
2. Check all elements are visible and properly sized",Modal adapts to mobile width; all fields are accessible; touch targets are at least 44x44px; no horizontal overflow,,High,GUI,,,,
GUI,TC_KUDO_GUI_020,Viet Kudo,GUI,Responsive Design,,Verify modal layout on tablet viewport,Browser viewport set to 768px width,,"1. Open the Viet Kudo modal on tablet viewport
2. Check layout and spacing",Modal displays correctly with appropriate width and spacing for tablet,,Medium,GUI,,,,
GUI,TC_KUDO_GUI_021,Viet Kudo,GUI,Responsive Design,,Verify modal layout on desktop viewport,Browser viewport set to 1024px or wider,,"1. Open the Viet Kudo modal on desktop viewport
2. Check layout matches Figma design",Modal displays centered with design-specified width; all elements properly laid out,,Medium,GUI,,,,
GUI,TC_KUDO_GUI_022,Viet Kudo,GUI,Responsive Design,,Verify modal displays correctly when browser zoom is changed,Modal is open,,"1. Open the modal
2. Zoom in to 150%
3. Zoom out to 75%",Modal layout is not broken at different zoom levels; all content remains accessible,Dialog_popup: Zoom in/out viewpoint,Low,GUI,,,,
GUI,TC_KUDO_GUI_023,Viet Kudo,GUI,Rich Text Editor,,Verify all toolbar formatting buttons are displayed correctly,Modal is open,,"1. Open the modal
2. Observe the toolbar above the textarea","All 6 buttons displayed in order: Bold (B), Italic (I), Strikethrough (S), Numbered list, Link, Quote; each with correct icon and positioning",Design items C.1-C.6: Toolbar buttons,High,GUI,,,,
GUI,TC_KUDO_GUI_024,Viet Kudo,GUI,Rich Text Editor,,Verify textarea shows correct placeholder text,"Modal is open, textarea is empty",,"1. Open the modal
2. Observe the textarea","Placeholder text ""Hay gui gam loi cam on va ghi nhan den dong doi tai day nhe!"" is displayed in gray",Design item D: Textarea placeholder,Medium,GUI,,,,
GUI,TC_KUDO_GUI_025,Viet Kudo,GUI,Rich Text Editor,,"Verify hint text about ""@"" mention feature is displayed",Modal is open,,"1. Open the modal
2. Observe below the textarea","Hint text ""Ban co the '@ + ten' de nhac toi dong nghiep khac"" is displayed in small font below the textarea",Design item D.1: Hint text,Medium,GUI,,,,
GUI,TC_KUDO_GUI_026,Viet Kudo,GUI,Rich Text Editor,,Verify toolbar buttons show active/toggled state when formatting is applied,"Modal is open, text is entered",,"1. Type text in the textarea
2. Select text and click Bold button
3. Observe the Bold button state",Bold button shows active/highlighted state when bold formatting is applied to selected text,Design item C.1: Bold toggle button,Medium,GUI,,,,
GUI,TC_KUDO_GUI_027,Viet Kudo,GUI,Title,,Verify modal title text and styling,Modal is open,,"1. Open the Viet Kudo modal
2. Observe the title area","Title ""Gui loi cam on va ghi nhan den dong doi"" is displayed, large font, centered, matching design","Design item A: Label ""Gui loi cam on va ghi nhan den dong doi""",High,GUI,,,,
FUNCTION,TC_KUDO_FUN_001,Viet Kudo,FUNCTION,Anonymous Toggle,,Verify toggling anonymous mode on shows the anonymous name field,"Modal is open, anonymous toggle is off",,"1. Click the ""Gui an danh"" toggle",Toggle becomes checked/enabled; anonymous name text field appears,Design item G: Toggle on shows name field,Medium,Functional,,,,
FUNCTION,TC_KUDO_FUN_002,Viet Kudo,FUNCTION,Anonymous Toggle,,Verify toggling anonymous mode off hides the anonymous name field,"Modal is open, anonymous toggle is on",,"1. Click the ""Gui an danh"" toggle to disable it",Toggle becomes unchecked; anonymous name text field is hidden,Design item G: Toggle off hides name field,Medium,Functional,,,,
FUNCTION,TC_KUDO_FUN_003,Viet Kudo,FUNCTION,Anonymous Toggle,,Verify kudo is sent anonymously when toggle is enabled,"Modal is open, all required fields filled, anonymous toggle is on",,"1. Enable anonymous mode
2. Fill in all required fields
3. Click ""Gui""",Kudo is submitted successfully; sender identity is hidden in the kudo display,Design item G: Anonymous submission,High,Functional,,,,
FUNCTION,TC_KUDO_FUN_004,Viet Kudo,FUNCTION,Cancel Operation,,"Verify clicking ""Huy"" closes the modal when no data is entered","Modal is open, no fields filled",,"1. Click the ""Huy"" button",Modal closes immediately; no data is saved,Design item H.1: Cancel closes modal,High,Functional,,,,
FUNCTION,TC_KUDO_FUN_005,Viet Kudo,FUNCTION,Cancel Operation,,"Verify clicking ""Huy"" closes the modal and discards all entered data","Modal is open, some fields filled",,"1. Fill in recipient, message, and hashtags
2. Click ""Huy""",Modal closes; all entered data is discarded; no kudo is created,Design item H.1: Cancel discards changes,High,Functional,,,,
FUNCTION,TC_KUDO_FUN_006,Viet Kudo,FUNCTION,Cancel Operation,,Verify modal opens fresh after a previous cancel,User previously opened and cancelled the modal,,"1. Open the modal, fill some data, click ""Huy""
2. Open the modal again",Modal opens with all fields in default/empty state; no previously entered data is retained,,Medium,Functional,,,,
FUNCTION,TC_KUDO_FUN_007,Viet Kudo,FUNCTION,Edge Cases,,Verify behavior when user tries to send a kudo to themselves,Modal is open,,1. Search for and select own name in the recipient field,System prevents self-kudo or shows appropriate message (per business rules),,Medium,Functional,,,,
FUNCTION,TC_KUDO_FUN_008,Viet Kudo,FUNCTION,Edge Cases,,Verify message accepts and properly handles special characters,Modal is open,"<script>alert('xss')</script>, HTML tags, emojis, Vietnamese diacritics","1. Type message with special characters: <script>, HTML tags, emojis, Vietnamese diacritics
2. Submit the form",Special characters are properly escaped/sanitized; no XSS; content displays correctly after submission,OWASP: XSS Prevention,High,Functional,,,,
