Section,TC_ID,Page_Name,Category,Sub_Category,Sub_Sub_Category,Test_Objective,Precondition,Test_Data,Steps,Expected_Result,Specs,Priority,Testcase_Type,Test_Result,Executed_Date,Tester,Note
FUNCTION,TC_KUDO_FUN_009,Viet Kudo,FUNCTION,Edge Cases,,Verify behavior with extremely long message text,Modal is open,10000+ character text,"1. Paste a very long text (e.g., 10,000+ characters) into the textarea
2. Attempt to submit",System handles gracefully; either allows submission or shows max length error,RichTextBox_Markdown: Max length viewpoints,Low,Functional,,,,
FUNCTION,TC_KUDO_FUN_010,Viet Kudo,FUNCTION,Edge Cases,,Verify behavior when modal is opened in multiple browser tabs,User is logged in in multiple tabs,,"1. Open Viet Kudo modal in Tab 1
2. Open Viet Kudo modal in Tab 2
3. Submit kudo in both tabs",Both submissions succeed independently; no conflicts or errors,,Low,Functional,,,,
FUNCTION,TC_KUDO_FUN_011,Viet Kudo,FUNCTION,Form Submission,,Verify kudo is successfully submitted with all valid data,"Modal is open, all required fields filled with valid data",,"1. Select a recipient
2. Type a gratitude message
3. Add 1-5 hashtags
4. Optionally upload images
5. Click ""Gui""",Loading state shown; form submits successfully; modal closes; kudo appears in the list,Design item H.2: Submit action,High,Functional,,,,
FUNCTION,TC_KUDO_FUN_012,Viet Kudo,FUNCTION,Form Submission,,Verify submission works with all fields (required + optional) filled,Modal is open,,"1. Select a recipient
2. Type a rich-text message with formatting and ""@"" mention
3. Add 5 hashtags
4. Upload 5 images
5. Enable anonymous mode
6. Click ""Gui""",Form submits successfully with all data; modal closes; kudo displays with all content,Design items B-H: Full form submission,High,Functional,,,,
FUNCTION,TC_KUDO_FUN_013,Viet Kudo,FUNCTION,Form Submission,,Verify loading indicator is shown during form submission,All required fields filled,,"1. Click ""Gui""
2. Observe the button during submission","""Gui"" button shows loading state (spinner or disabled); prevents double submission",Design item H.2: Loading state,Medium,Functional,,,,
FUNCTION,TC_KUDO_FUN_014,Viet Kudo,FUNCTION,Form Submission,,Verify double-clicking submit does not create duplicate kudos,All required fields filled,,"1. Double-click the ""Gui"" button quickly",Only one kudo is created; no duplicate submissions,Dialog_popup: Double-click action viewpoint,High,Functional,,,,
FUNCTION,TC_KUDO_FUN_015,Viet Kudo,FUNCTION,Form Submission,,Verify error handling when network fails during submission,"All required fields filled, network connection interrupted",,"1. Fill all required fields
2. Disconnect network
3. Click ""Gui""",Error message displayed; form data is preserved; user can retry after reconnecting,,Medium,Functional,,,,
FUNCTION,TC_KUDO_FUN_016,Viet Kudo,FUNCTION,Form Validation,,Verify form cannot be submitted when all required fields are empty,"Modal is open, no fields filled",,"1. Observe the ""Gui"" button without filling any fields","""Gui"" button is disabled and cannot be clicked",Design item H.2: Disabled when required fields empty,High,Functional,,,,
FUNCTION,TC_KUDO_FUN_017,Viet Kudo,FUNCTION,Form Validation,,Verify form cannot be submitted with only the recipient field filled,Modal is open,,"1. Select a recipient
2. Leave message and hashtag fields empty
3. Observe the ""Gui"" button","""Gui"" button remains disabled",Design item H.2: Validation rules,High,Functional,,,,
FUNCTION,TC_KUDO_FUN_018,Viet Kudo,FUNCTION,Form Validation,,Verify form cannot be submitted with only the message filled,Modal is open,,"1. Type a message in the textarea
2. Leave recipient and hashtag fields empty
3. Observe the ""Gui"" button","""Gui"" button remains disabled",Design item H.2: Validation rules,High,Functional,,,,
FUNCTION,TC_KUDO_FUN_019,Viet Kudo,FUNCTION,Form Validation,,Verify form cannot be submitted with only hashtags added,Modal is open,,"1. Add at least one hashtag
2. Leave recipient and message fields empty
3. Observe the ""Gui"" button","""Gui"" button remains disabled",Design item H.2: Validation rules,High,Functional,,,,
FUNCTION,TC_KUDO_FUN_020,Viet Kudo,FUNCTION,Form Validation,,Verify form cannot be submitted without at least one hashtag,Modal is open,,"1. Select a recipient
2. Type a message
3. Do not add any hashtags
4. Observe the ""Gui"" button","""Gui"" button remains disabled","Design items E, H.2: Hashtag required",High,Functional,,,,
FUNCTION,TC_KUDO_FUN_021,Viet Kudo,FUNCTION,Form Validation,,"Verify ""Gui"" button becomes enabled when all required fields have valid values",Modal is open,,"1. Select a recipient
2. Type a message
3. Add at least one hashtag","""Gui"" button becomes enabled/clickable",Design item H.2: Enable on valid data,High,Functional,,,,
FUNCTION,TC_KUDO_FUN_022,Viet Kudo,FUNCTION,Form Validation,,Verify form validation rejects message with only whitespace,Modal is open,Spaces only in message,"1. Select a recipient
2. Type only spaces in the textarea
3. Add a hashtag
4. Attempt to submit","Validation error; form is not submitted; ""Gui"" button remains disabled or error shown",RichTextBox_Markdown: Null/Space viewpoints,Medium,Functional,,,,
FUNCTION,TC_KUDO_FUN_023,Viet Kudo,FUNCTION,Hashtag Management,,"Verify user can add a hashtag via the ""+ Hashtag"" button","Modal is open, no hashtags added",,"1. Click the ""+ Hashtag"" button
2. Select or type a hashtag from the dropdown",Hashtag is added as a chip in the hashtag section,"Design item E, E.2: Add hashtag",High,Functional,,,,
FUNCTION,TC_KUDO_FUN_024,Viet Kudo,FUNCTION,Hashtag Management,,"Verify user can remove a hashtag by clicking ""x"" on the chip","Modal is open, at least one hashtag is added",,"1. Click the ""x"" button on a hashtag chip",Hashtag chip is removed from the list,"Design item E.2: Remove chip via ""x""",High,Functional,,,,
FUNCTION,TC_KUDO_FUN_025,Viet Kudo,FUNCTION,Hashtag Management,,Verify user can add up to 5 hashtags,Modal is open,,1. Add 5 hashtags one by one,"All 5 hashtags display as chips; ""+ Hashtag"" button is hidden or disabled after 5th tag",Design item E: Max 5 hashtags,High,Functional,,,,
FUNCTION,TC_KUDO_FUN_026,Viet Kudo,FUNCTION,Hashtag Management,,Verify system prevents adding more than 5 hashtags,"Modal is open, 5 hashtags already added",,1. Try to add a 6th hashtag,"Cannot add; ""+ Hashtag"" button is hidden or disabled; no error crash",Design item E: Max 5 validation,High,Functional,,,,
FUNCTION,TC_KUDO_FUN_027,Viet Kudo,FUNCTION,Hashtag Management,,Verify removing a hashtag allows adding new ones again,"Modal is open, 5 hashtags added",,"1. Remove one hashtag (click ""x"")
2. Click ""+ Hashtag"" to add a new one","""+ Hashtag"" button becomes available again; new hashtag can be added; total remains <= 5",Design item E: Max 5 with removal,Medium,Functional,,,,
FUNCTION,TC_KUDO_FUN_028,Viet Kudo,FUNCTION,Image Upload,,Verify user can upload an image via file picker,Modal is open,Valid .jpg or .png image file,"1. Click the ""+ Image"" button
2. Select a valid image file (e.g., .jpg, .png)","Image is uploaded and displayed as a thumbnail with ""x"" remove button","Design item F, F.5: Upload image",Medium,Functional,,,,
FUNCTION,TC_KUDO_FUN_029,Viet Kudo,FUNCTION,Image Upload,,Verify user can upload up to 5 images,Modal is open,5 valid image files,1. Upload 5 images one by one,"All 5 thumbnails displayed; ""+ Image"" button is hidden after 5th image","Design item F: Max 5, button hidden",Medium,Functional,,,,
FUNCTION,TC_KUDO_FUN_030,Viet Kudo,FUNCTION,Image Upload,,Verify system prevents uploading more than 5 images,"Modal is open, 5 images already uploaded",,"1. Observe the ""+ Image"" button","""+ Image"" button is hidden; no way to upload additional images","Design item F: Max 5, button hidden at 5",Medium,Functional,,,,
FUNCTION,TC_KUDO_FUN_031,Viet Kudo,FUNCTION,Image Upload,,"Verify user can remove an image by clicking ""x"" on thumbnail","Modal is open, at least one image uploaded",,"1. Click the ""x"" button on an image thumbnail","Image is removed from the list; ""+ Image"" button reappears if count was at 5","Design items F.2-F.4: Remove via ""x""",Medium,Functional,,,,
FUNCTION,TC_KUDO_FUN_032,Viet Kudo,FUNCTION,Image Upload,,Verify error when uploading a non-image file,Modal is open,"Non-image files: .csv, .txt, .mp3","1. Click ""+ Image""
2. Select a non-image file (e.g., .csv, .txt, .mp3)",Error message displayed; file is not uploaded,Upload_Image: Type image viewpoints,Medium,Functional,,,,
FUNCTION,TC_KUDO_FUN_033,Viet Kudo,FUNCTION,Image Upload,,Verify error when uploading an image that exceeds maximum file size,Modal is open,Image file larger than max allowed size,"1. Click ""+ Image""
2. Select an image file larger than the allowed maximum size",Error message displayed; file is not uploaded,Upload_Image: Capacity image viewpoints,Medium,Functional,,,,
FUNCTION,TC_KUDO_FUN_034,Viet Kudo,FUNCTION,Image Upload,,Verify removing images allows uploading new ones,"Modal is open, 5 images uploaded",,"1. Remove one image
2. Upload a new image","""+ Image"" button reappears after removal; new image can be uploaded; total remains <= 5",,Low,Functional,,,,
FUNCTION,TC_KUDO_FUN_035,Viet Kudo,FUNCTION,Mention Feature,,"Verify typing ""@"" followed by text triggers mention suggestions",Modal is open,@colleague_name,"1. Click in the textarea
2. Type ""@"" followed by a colleague's name",Mention autocomplete dropdown appears with matching colleague names,"Design item D: ""@"" mention feature",High,Functional,,,,
FUNCTION,TC_KUDO_FUN_036,Viet Kudo,FUNCTION,Mention Feature,,Verify clicking a mention suggestion inserts the mention,"Modal is open, mention suggestions are visible",@nam,"1. Type ""@nam"" in the textarea
2. Click on a suggested colleague name",Mention is inserted into the text (formatted/highlighted); autocomplete dropdown closes,"Design item D: ""@"" mention select",High,Functional,,,,
FUNCTION,TC_KUDO_FUN_037,Viet Kudo,FUNCTION,Mention Feature,,"Verify behavior when ""@"" mention finds no matches",Modal is open,@zzznonexistent,"1. Type ""@zzznonexistent"" in the textarea","No suggestions shown or ""No results"" message displayed; user can continue typing normally",,Low,Functional,,,,
FUNCTION,TC_KUDO_FUN_038,Viet Kudo,FUNCTION,Modal Behavior,,Verify behavior when clicking outside the modal overlay,Modal is open,,1. Click on the overlay area outside the modal,"Modal closes or stays open per specification; if data was entered, confirm discard behavior",Dialog_popup: Click outside viewpoint,Medium,Functional,,,,
FUNCTION,TC_KUDO_FUN_039,Viet Kudo,FUNCTION,Modal Behavior,,Verify pressing ESC key closes the modal,Modal is open,,1. Press the ESC key,Modal closes; entered data is discarded,Dialog_popup: ESC key viewpoint,Medium,Functional,,,,
FUNCTION,TC_KUDO_FUN_040,Viet Kudo,FUNCTION,Modal Behavior,,Verify Tab key navigates through form fields in correct order,Modal is open,,"1. Press Tab repeatedly
2. Observe focus movement",Focus moves through fields in logical order: Recipient -> Toolbar buttons -> Textarea -> Hashtag -> Image -> Anonymous toggle -> Cancel -> Submit; focus is trapped within modal,Dialog_popup: Tab order viewpoint,Medium,Functional,,,,
FUNCTION,TC_KUDO_FUN_041,Viet Kudo,FUNCTION,Modal Behavior,,Verify background page does not scroll while modal is open,"Modal is open, background page has scrollable content",,1. Attempt to scroll the page behind the modal,Background page does not scroll; modal stays in position,Dialog_popup: Scroll viewpoint,Low,Functional,,,,
FUNCTION,TC_KUDO_FUN_042,Viet Kudo,FUNCTION,Modal Behavior,,Verify behavior when page is reloaded with modal open,"Modal is open, some data entered",,1. Press F5 or Ctrl+R to reload the page,Page reloads; modal is closed; all entered data is lost,Dialog_popup: Reload viewpoint,Low,Functional,,,,
FUNCTION,TC_KUDO_FUN_043,Viet Kudo,FUNCTION,Recipient Search & Select,,Verify autocomplete suggestions appear when typing in the recipient field,Modal is open,,"1. Click on the recipient input field
2. Type at least 1 character of a colleague's name",Dropdown shows filtered suggestions matching the input; results update as user types,Design item B.2: Autocomplete search,High,Functional,,,,
FUNCTION,TC_KUDO_FUN_044,Viet Kudo,FUNCTION,Recipient Search & Select,,Verify selecting a recipient from the dropdown populates the field,"Modal is open, autocomplete suggestions are visible",,"1. Type a search query in the recipient field
2. Click on a suggested name from the dropdown",Selected name is populated in the recipient field; dropdown closes,Design item B.2: Select from list,High,Functional,,,,
FUNCTION,TC_KUDO_FUN_045,Viet Kudo,FUNCTION,Recipient Search & Select,,Verify behavior when search query returns no matches,Modal is open,zzzxxx999,"1. Type a non-existent name in the recipient field (e.g., ""zzzxxx999"")","Dropdown shows no results or ""No results found"" message",,Medium,Functional,,,,
FUNCTION,TC_KUDO_FUN_046,Viet Kudo,FUNCTION,Recipient Search & Select,,Verify user can clear the selected recipient and search again,"Modal is open, a recipient is already selected",,"1. Clear the recipient field
2. Type a new search query",Previous recipient is removed; new autocomplete suggestions appear,,Medium,Functional,,,,
FUNCTION,TC_KUDO_FUN_047,Viet Kudo,FUNCTION,Recipient Search & Select,,Verify clicking the dropdown arrow opens the recipient list,Modal is open,,1. Click the dropdown arrow icon on the recipient field,Dropdown opens showing available recipients to select from,Design item B.2: Dropdown IC icon,Medium,Functional,,,,
FUNCTION,TC_KUDO_FUN_048,Viet Kudo,FUNCTION,Rich Text Editing,,Verify bold formatting can be toggled on selected text,"Modal is open, text is typed in the textarea",,"1. Type text in the textarea
2. Select a portion of text
3. Click the Bold (B) button",Selected text becomes bold; clicking Bold again removes bold formatting,Design item C.1: Bold toggle,Medium,Functional,,,,
FUNCTION,TC_KUDO_FUN_049,Viet Kudo,FUNCTION,Rich Text Editing,,Verify italic formatting can be toggled on selected text,"Modal is open, text is typed in the textarea",,"1. Type text in the textarea
2. Select a portion of text
3. Click the Italic (I) button",Selected text becomes italic; clicking Italic again removes italic formatting,Design item C.2: Italic toggle,Medium,Functional,,,,
FUNCTION,TC_KUDO_FUN_050,Viet Kudo,FUNCTION,Rich Text Editing,,Verify strikethrough formatting can be toggled on selected text,"Modal is open, text is typed in the textarea",,"1. Type text in the textarea
2. Select a portion of text
3. Click the Strikethrough (S) button",Selected text gets strikethrough; clicking again removes it,Design item C.3: Strikethrough toggle,Medium,Functional,,,,
FUNCTION,TC_KUDO_FUN_051,Viet Kudo,FUNCTION,Rich Text Editing,,Verify numbered list can be toggled,"Modal is open, text is typed in the textarea",,"1. Type multiple lines of text
2. Select the lines
3. Click the Numbered list button",Lines are formatted as a numbered list; clicking again removes numbering,Design item C.4: Number list toggle,Medium,Functional,,,,
FUNCTION,TC_KUDO_FUN_052,Viet Kudo,FUNCTION,Rich Text Editing,,Verify link insertion via the link toolbar button,"Modal is open, text is typed in the textarea",https://example.com,"1. Select text in the textarea
2. Click the Link button
3. Enter a URL in the dialog
4. Confirm",Selected text becomes a hyperlink; link URL is correctly associated,Design item C.5: Link insertion,Medium,Functional,,,,
FUNCTION,TC_KUDO_FUN_053,Viet Kudo,FUNCTION,Rich Text Editing,,Verify quote/blockquote formatting can be toggled,"Modal is open, text is typed in the textarea",,"1. Type text in the textarea
2. Select a paragraph
3. Click the Quote button",Selected paragraph displays in blockquote format; clicking again removes quote formatting,Design item C.6: Quote toggle,Medium,Functional,,,,
FUNCTION,TC_KUDO_FUN_054,Viet Kudo,FUNCTION,Rich Text Editing,,Verify multiple formatting options can be applied to the same text,"Modal is open, text is typed in the textarea",,"1. Select text
2. Apply Bold
3. Apply Italic",Text is both bold and italic simultaneously,RichTextBox_Markdown: Format viewpoints,Low,Functional,,,,
